Количество уникальных ОКПД2 кодов: 3630
Топ 10 самых часто встречающихся ОКПД2 кодов:
ОКПД2 код: 14.12.30.132, Количество строк: 62481
ОКПД2 код: 31.01.11.190, Количество строк: 63
ОКПД2 код: 26.51.43.113, Количество строк: 63
ОКПД2 код: 10.41.59.156, Количество строк: 63
ОКПД2 код: 10.86.10.220, Количество строк: 63
ОКПД2 код: 22.29.23.120, Количество строк: 62
ОКПД2 код: 25.73.30.150, Количество строк: 62
ОКПД2 код: 25.73.30.120, Количество строк: 62
ОКПД2 код: 14.19.42.162, Количество строк: 62
ОКПД2 код: 31.01.12.129, Количество строк: 62
ОКПД2 код: 26.51.52.120, Количество строк: 62
ОКПД2 код: 11.01.10.141, Количество строк: 62
ОКПД2 код: 10.51.40.300, Количество строк: 61
ОКПД2 код: 28.22.19.169, Количество строк: 61
ОКПД2 код: 28.24.21.000, Количество строк: 61
ОКПД2 код: 17.12.77.110, Количество строк: 61
ОКПД2 код: 20.41.42.110, Количество строк: 61
ОКПД2 код: 20.59.52.191, Количество строк: 61
ОКПД2 код: 23.61.12.111, Количество строк: 61
ОКПД2 код: 28.41.24.120, Количество строк: 60
ОКПД2 код: 17.23.14.110, Количество строк: 60
ОКПД2 код: 26.51.66.111, Количество строк: 60
ОКПД2 код: 27.51.11.120, Количество строк: 60
ОКПД2 код: 13.99.11.110, Количество строк: 60
ОКПД2 код: 29.31.21.160, Количество строк: 60
ОКПД2 код: 23.13.13.142, Количество строк: 60
ОКПД2 код: 10.71.11.111, Количество строк: 60
ОКПД2 код: 10.73.11.190, Количество строк: 60
ОКПД2 код: 10.39.18.120, Количество строк: 60
ОКПД2 код: 31.01.11.122, Количество строк: 59
ОКПД2 код: 27.40.15.112, Количество строк: 59
ОКПД2 код: 32.30.11.131, Количество строк: 59
ОКПД2 код: 13.96.14.112, Количество строк: 59
ОКПД2 код: 10.72.11.120, Количество строк: 59
ОКПД2 код: 24.42.24.120, Количество строк: 59
ОКПД2 код: 24.34.13.120, Количество строк: 59
ОКПД2 код: 28.30.40.000, Количество строк: 59
ОКПД2 код: 28.25.14.129, Количество строк: 59
ОКПД2 код: 30.20.31.123, Количество строк: 59
ОКПД2 код: 27.11.25.000, Количество строк: 58
ОКПД2 код: 14.20.10.411, Количество строк: 58
ОКПД2 код: 23.41.12.110, Количество строк: 57
ОКПД2 код: 26.20.11.110, Количество строк: 57
ОКПД2 код: 23.61.12.171, Количество строк: 57
ОКПД2 код: 10.82.22.141, Количество строк: 57
ОКПД2 код: 20.53.10.110, Количество строк: 57
ОКПД2 код: 10.12.10.110, Количество строк: 57
ОКПД2 код: 21.10.51.129, Количество строк: 57
ОКПД2 код: 10.61.12.000, Количество строк: 57
ОКПД2 код: 25.99.21.111, Количество строк: 57
ОКПД2 код: 26.51.51.120, Количество строк: 56
ОКПД2 код: 27.32.13.133, Количество строк: 56
ОКПД2 код: 26.51.43.146, Количество строк: 56
ОКПД2 код: 24.20.21.000, Количество строк: 56
ОКПД2 код: 23.12.13.310, Количество строк: 56
ОКПД2 код: 11.02.12.151, Количество строк: 56
ОКПД2 код: 13.93.12.120, Количество строк: 55
ОКПД2 код: 25.73.30.242, Количество строк: 55
ОКПД2 код: 27.52.11.110, Количество строк: 55
ОКПД2 код: 08.92.10.122, Количество строк: 55
ОКПД2 код: 25.21.11.120, Количество строк: 55
ОКПД2 код: 20.41.32.129, Количество строк: 55
ОКПД2 код: 32.99.11.113, Количество строк: 55
ОКПД2 код: 01.29.30.120, Количество строк: 55
ОКПД2 код: 27.40.13.000, Количество строк: 55
ОКПД2 код: 32.99.55.000, Количество строк: 55
ОКПД2 код: 20.41.31.190, Количество строк: 54
ОКПД2 код: 10.39.25.120, Количество строк: 54
ОКПД2 код: 25.73.40.129, Количество строк: 54
ОКПД2 код: 20.30.24.119, Количество строк: 54
ОКПД2 код: 15.20.11.112, Количество строк: 54
ОКПД2 код: 26.51.33.143, Количество строк: 54
ОКПД2 код: 28.49.23.194, Количество строк: 54
ОКПД2 код: 29.32.30.136, Количество строк: 54
ОКПД2 код: 26.11.22.219, Количество строк: 54
ОКПД2 код: 15.20.13.130, Количество строк: 54
ОКПД2 код: 58.29.14.000, Количество строк: 53
ОКПД2 код: 10.84.12.190, Количество строк: 53
ОКПД2 код: 10.85.11.000, Количество строк: 53
ОКПД2 код: 28.41.33.130, Количество строк: 53
ОКПД2 код: 23.19.25.000, Количество строк: 53
ОКПД2 код: 28.49.21.110, Количество строк: 53
ОКПД2 код: 28.25.20.112, Количество строк: 53
ОКПД2 код: 28.22.12.190, Количество строк: 52
ОКПД2 код: 30.20.31.117, Количество строк: 52
ОКПД2 код: 10.11.12.110, Количество строк: 52
ОКПД2 код: 28.15.10.128, Количество строк: 52
ОКПД2 код: 20.16.30.190, Количество строк: 52
ОКПД2 код: 25.73.40.163, Количество строк: 52
ОКПД2 код: 30.20.40.143, Количество строк: 52
ОКПД2 код: 28.29.11.130, Количество строк: 52
ОКПД2 код: 20.42.19.120, Количество строк: 52
ОКПД2 код: 32.40.39.192, Количество строк: 52
ОКПД2 код: 28.29.31.112, Количество строк: 51
ОКПД2 код: 22.11.15.110, Количество строк: 51
ОКПД2 код: 14.13.12.130, Количество строк: 51
ОКПД2 код: 17.23.13.141, Количество строк: 51
ОКПД2 код: 27.40.33.110, Количество строк: 51
ОКПД2 код: 10.51.30.111, Количество строк: 50
ОКПД2 код: 32.30.15.115, Количество строк: 50
ОКПД2 код: 17.23.13.145, Количество строк: 50
ОКПД2 код: 27.11.62.110, Количество строк: 50
ОКПД2 код: 20.42.15.141, Количество строк: 50
ОКПД2 код: 10.20.13.122, Количество строк: 50
ОКПД2 код: 21.10.54.190, Количество строк: 50
ОКПД2 код: 24.10.51.000, Количество строк: 49
ОКПД2 код: 20.16.40.130, Количество строк: 49
ОКПД2 код: 20.14.13.000, Количество строк: 49
ОКПД2 код: 28.13.24.000, Количество строк: 49
ОКПД2 код: 25.73.30.162, Количество строк: 49
ОКПД2 код: 28.15.10.140, Количество строк: 49
ОКПД2 код: 10.13.14.413, Количество строк: 49
ОКПД2 код: 10.52.10.153, Количество строк: 49
ОКПД2 код: 26.60.12.122, Количество строк: 49
ОКПД2 код: 32.30.14.115, Количество строк: 49
ОКПД2 код: 32.91.12.140, Количество строк: 49
ОКПД2 код: 13.92.12.110, Количество строк: 48
ОКПД2 код: 19.20.29.230, Количество строк: 48
ОКПД2 код: 27.32.13.136, Количество строк: 48
ОКПД2 код: 29.10.59.390, Количество строк: 48
ОКПД2 код: 28.14.11.141, Количество строк: 48
ОКПД2 код: 14.12.21.110, Количество строк: 48
ОКПД2 код: 16.21.12.120, Количество строк: 47
ОКПД2 код: 58.11.30.120, Количество строк: 47
ОКПД2 код: 28.13.31.110, Количество строк: 47
ОКПД2 код: 10.13.14.112, Количество строк: 47
ОКПД2 код: 25.94.12.142, Количество строк: 47
ОКПД2 код: 26.51.42.120, Количество строк: 47
ОКПД2 код: 24.42.22.139, Количество строк: 47
ОКПД2 код: 23.99.19.110, Количество строк: 47
ОКПД2 код: 27.33.11.150, Количество строк: 47
ОКПД2 код: 26.70.13.000, Количество строк: 47
ОКПД2 код: 28.93.32.000, Количество строк: 47
ОКПД2 код: 13.96.14.111, Количество строк: 47
ОКПД2 код: 10.72.12.112, Количество строк: 47
ОКПД2 код: 21.10.31.120, Количество строк: 47
ОКПД2 код: 26.40.43.120, Количество строк: 47
ОКПД2 код: 25.99.22.130, Количество строк: 47
ОКПД2 код: 30.20.40.154, Количество строк: 46
ОКПД2 код: 10.51.52.140, Количество строк: 46
ОКПД2 код: 27.32.13.155, Количество строк: 46
ОКПД2 код: 16.10.10.113, Количество строк: 46
ОКПД2 код: 25.21.11.150, Количество строк: 46
ОКПД2 код: 22.19.10.000, Количество строк: 46
ОКПД2 код: 27.32.13.152, Количество строк: 46
ОКПД2 код: 10.71.12.111, Количество строк: 46
ОКПД2 код: 32.30.14.112, Количество строк: 46
ОКПД2 код: 25.99.11.119, Количество строк: 46
ОКПД2 код: 25.72.11.130, Количество строк: 45
ОКПД2 код: 26.70.22.110, Количество строк: 45
ОКПД2 код: 11.02.12.111, Количество строк: 45
ОКПД2 код: 22.29.23.110, Количество строк: 45
ОКПД2 код: 20.30.22.180, Количество строк: 45
ОКПД2 код: 26.51.45.190, Количество строк: 45
ОКПД2 код: 26.51.82.150, Количество строк: 45
ОКПД2 код: 10.85.19.110, Количество строк: 45
ОКПД2 код: 10.82.22.112, Количество строк: 45
ОКПД2 код: 10.71.12.121, Количество строк: 45
ОКПД2 код: 32.40.39.212, Количество строк: 45
ОКПД2 код: 02.10.11.212, Количество строк: 45
ОКПД2 код: 28.25.13.111, Количество строк: 44
ОКПД2 код: 10.51.12.120, Количество строк: 44
ОКПД2 код: 26.60.12.124, Количество строк: 44
ОКПД2 код: 29.32.30.142, Количество строк: 44
ОКПД2 код: 28.13.23.000, Количество строк: 44
ОКПД2 код: 20.52.10.140, Количество строк: 44
ОКПД2 код: 20.12.21.119, Количество строк: 44
ОКПД2 код: 28.12.15.113, Количество строк: 44
ОКПД2 код: 59.11.23.000, Количество строк: 44
ОКПД2 код: 25.93.18.110, Количество строк: 44
ОКПД2 код: 10.82.23.171, Количество строк: 44
ОКПД2 код: 10.52.10.151, Количество строк: 44
ОКПД2 код: 13.96.16.130, Количество строк: 43
ОКПД2 код: 17.22.13.192, Количество строк: 43
ОКПД2 код: 01.19.22.110, Количество строк: 43
ОКПД2 код: 38.11.56.000, Количество строк: 43
ОКПД2 код: 26.51.53.120, Количество строк: 43
ОКПД2 код: 14.19.42.169, Количество строк: 43
ОКПД2 код: 28.23.13.190, Количество строк: 43
ОКПД2 код: 28.29.31.113, Количество строк: 43
ОКПД2 код: 32.99.56.131, Количество строк: 43
ОКПД2 код: 27.90.53.000, Количество строк: 43
ОКПД2 код: 14.19.31.111, Количество строк: 43
ОКПД2 код: 10.71.11.112, Количество строк: 43
ОКПД2 код: 25.99.29.122, Количество строк: 43
ОКПД2 код: 31.09.11.110, Количество строк: 42
ОКПД2 код: 23.19.26.900, Количество строк: 42
ОКПД2 код: 38.32.22.160, Количество строк: 42
ОКПД2 код: 25.93.16.110, Количество строк: 42
ОКПД2 код: 20.11.12.190, Количество строк: 42
ОКПД2 код: 20.13.41.130, Количество строк: 42
ОКПД2 код: 20.20.11.000, Количество строк: 42
ОКПД2 код: 22.19.40.129, Количество строк: 42
ОКПД2 код: 26.51.43.150, Количество строк: 42
ОКПД2 код: 29.32.30.131, Количество строк: 42
ОКПД2 код: 29.32.30.110, Количество строк: 42
ОКПД2 код: 16.21.13.000, Количество строк: 42
ОКПД2 код: 21.20.24.169, Количество строк: 42
ОКПД2 код: 10.39.22.120, Количество строк: 42
ОКПД2 код: 22.19.30.120, Количество строк: 41
ОКПД2 код: 17.23.13.144, Количество строк: 41
ОКПД2 код: 28.12.12.114, Количество строк: 41
ОКПД2 код: 28.41.23.120, Количество строк: 41
ОКПД2 код: 31.09.11.130, Количество строк: 41
ОКПД2 код: 25.73.30.153, Количество строк: 41
ОКПД2 код: 24.10.42.000, Количество строк: 41
ОКПД2 код: 28.12.14.112, Количество строк: 41
ОКПД2 код: 29.32.30.261, Количество строк: 41
ОКПД2 код: 08.12.12.140, Количество строк: 41
ОКПД2 код: 10.39.17.111, Количество строк: 41
ОКПД2 код: 10.61.33.140, Количество строк: 41
ОКПД2 код: 58.19.14.110, Количество строк: 41
ОКПД2 код: 28.29.32.000, Количество строк: 40
ОКПД2 код: 26.30.22.110, Количество строк: 40
ОКПД2 код: 28.13.13.130, Количество строк: 40
ОКПД2 код: 20.59.56.120, Количество строк: 40
ОКПД2 код: 20.41.32.124, Количество строк: 40
ОКПД2 код: 28.29.12.119, Количество строк: 40
ОКПД2 код: 25.73.40.141, Количество строк: 40
ОКПД2 код: 28.23.13.140, Количество строк: 40
ОКПД2 код: 15.20.13.120, Количество строк: 40
ОКПД2 код: 10.81.12.110, Количество строк: 40
ОКПД2 код: 10.82.23.121, Количество строк: 40
ОКПД2 код: 10.51.56.152, Количество строк: 40
ОКПД2 код: 10.20.23.123, Количество строк: 40
ОКПД2 код: 32.50.13.110, Количество строк: 40
ОКПД2 код: 14.39.10.190, Количество строк: 39
ОКПД2 код: 14.19.42.159, Количество строк: 39
ОКПД2 код: 10.83.12.120, Количество строк: 39
ОКПД2 код: 25.30.12.114, Количество строк: 39
ОКПД2 код: 28.15.21.130, Количество строк: 39
ОКПД2 код: 22.23.14.120, Количество строк: 39
ОКПД2 код: 15.20.11.124, Количество строк: 39
ОКПД2 код: 28.12.11.129, Количество строк: 39
ОКПД2 код: 28.15.24.114, Количество строк: 39
ОКПД2 код: 17.23.13.130, Количество строк: 39
ОКПД2 код: 13.20.31.190, Количество строк: 39
ОКПД2 код: 10.39.16.000, Количество строк: 39
ОКПД2 код: 11.02.11.111, Количество строк: 39
ОКПД2 код: 10.13.14.111, Количество строк: 39
ОКПД2 код: 10.13.14.411, Количество строк: 39
ОКПД2 код: 10.52.10.112, Количество строк: 39
ОКПД2 код: 21.20.24.110, Количество строк: 39
ОКПД2 код: 25.21.11.110, Количество строк: 39
ОКПД2 код: 16.10.10.110, Количество строк: 39
ОКПД2 код: 15.20.32.128, Количество строк: 39
ОКПД2 код: 25.99.25.000, Количество строк: 38
ОКПД2 код: 26.51.51.150, Количество строк: 38
ОКПД2 код: 10.32.21.110, Количество строк: 38
ОКПД2 код: 19.20.42.190, Количество строк: 38
ОКПД2 код: 24.43.11.000, Количество строк: 38
ОКПД2 код: 08.91.19.190, Количество строк: 38
ОКПД2 код: 20.16.57.120, Количество строк: 38
ОКПД2 код: 27.32.13.157, Количество строк: 38
ОКПД2 код: 28.12.14.111, Количество строк: 38
ОКПД2 код: 29.31.23.120, Количество строк: 38
ОКПД2 код: 23.12.13.390, Количество строк: 38
ОКПД2 код: 14.19.43.116, Количество строк: 38
ОКПД2 код: 10.82.23.210, Количество строк: 38
ОКПД2 код: 28.29.12.130, Количество строк: 38
ОКПД2 код: 11.01.10.140, Количество строк: 38
ОКПД2 код: 13.94.12.130, Количество строк: 38
ОКПД2 код: 10.51.52.212, Количество строк: 37
ОКПД2 код: 24.10.62.123, Количество строк: 37
ОКПД2 код: 22.21.41.115, Количество строк: 37
ОКПД2 код: 29.32.30.262, Количество строк: 37
ОКПД2 код: 28.14.11.129, Количество строк: 37
ОКПД2 код: 26.52.12.140, Количество строк: 37
ОКПД2 код: 10.13.14.412, Количество строк: 37
ОКПД2 код: 10.20.25.113, Количество строк: 37
ОКПД2 код: 32.40.39.194, Количество строк: 37
ОКПД2 код: 16.29.13.190, Количество строк: 37
ОКПД2 код: 32.99.56.110, Количество строк: 37
ОКПД2 код: 32.99.56.121, Количество строк: 36
ОКПД2 код: 30.20.31.116, Количество строк: 36
ОКПД2 код: 24.10.62.122, Количество строк: 36
ОКПД2 код: 10.51.11.140, Количество строк: 36
ОКПД2 код: 27.40.15.120, Количество строк: 36
ОКПД2 код: 20.59.56.150, Количество строк: 36
ОКПД2 код: 20.60.13.000, Количество строк: 36
ОКПД2 код: 30.20.40.161, Количество строк: 36
ОКПД2 код: 27.33.13.163, Количество строк: 36
ОКПД2 код: 29.32.30.270, Количество строк: 36
ОКПД2 код: 11.01.10.180, Количество строк: 36
ОКПД2 код: 10.52.10.154, Количество строк: 36
ОКПД2 код: 08.93.10.120, Количество строк: 36
ОКПД2 код: 32.40.39.191, Количество строк: 36
ОКПД2 код: 01.13.19.000, Количество строк: 36
ОКПД2 код: 02.10.11.242, Количество строк: 36
ОКПД2 код: 14.14.12.110, Количество строк: 36
ОКПД2 код: 23.14.12.190, Количество строк: 35
ОКПД2 код: 19.20.29.150, Количество строк: 35
ОКПД2 код: 17.12.14.119, Количество строк: 35
ОКПД2 код: 27.51.28.110, Количество строк: 35
ОКПД2 код: 22.21.21.124, Количество строк: 35
ОКПД2 код: 22.19.30.110, Количество строк: 35
ОКПД2 код: 10.86.10.243, Количество строк: 35
ОКПД2 код: 10.51.40.142, Количество строк: 35
ОКПД2 код: 32.30.15.114, Количество строк: 35
ОКПД2 код: 30.99.10.110, Количество строк: 34
ОКПД2 код: 25.73.30.293, Количество строк: 34
ОКПД2 код: 28.12.13.190, Количество строк: 34
ОКПД2 код: 28.22.19.180, Количество строк: 34
ОКПД2 код: 24.10.35.000, Количество строк: 34
ОКПД2 код: 01.49.21.110, Количество строк: 34
ОКПД2 код: 20.16.40.120, Количество строк: 34
ОКПД2 код: 28.14.20.112, Количество строк: 34
ОКПД2 код: 24.42.22.111, Количество строк: 34
ОКПД2 код: 26.51.53.160, Количество строк: 34
ОКПД2 код: 29.32.30.260, Количество строк: 34
ОКПД2 код: 28.11.13.190, Количество строк: 34
ОКПД2 код: 28.29.39.000, Количество строк: 34
ОКПД2 код: 26.52.12.120, Количество строк: 34
ОКПД2 код: 17.12.59.000, Количество строк: 34
ОКПД2 код: 13.20.13.190, Количество строк: 34
ОКПД2 код: 10.61.24.000, Количество строк: 34
ОКПД2 код: 21.20.21.139, Количество строк: 34
ОКПД2 код: 16.29.14.110, Количество строк: 33
ОКПД2 код: 11.01.10.111, Количество строк: 33
ОКПД2 код: 27.51.21.122, Количество строк: 33
ОКПД2 код: 36.00.11.000, Количество строк: 33
ОКПД2 код: 27.33.13.164, Количество строк: 33
ОКПД2 код: 26.51.53.150, Количество строк: 33
ОКПД2 код: 26.51.52.110, Количество строк: 33
ОКПД2 код: 29.32.30.135, Количество строк: 33
ОКПД2 код: 23.61.12.169, Количество строк: 33
ОКПД2 код: 10.82.23.149, Количество строк: 33
ОКПД2 код: 20.41.31.113, Количество строк: 33
ОКПД2 код: 20.13.24.149, Количество строк: 32
ОКПД2 код: 26.51.41.110, Количество строк: 32
ОКПД2 код: 22.21.41.110, Количество строк: 32
ОКПД2 код: 25.11.23.114, Количество строк: 32
ОКПД2 код: 28.29.50.000, Количество строк: 32
ОКПД2 код: 19.20.29.190, Количество строк: 32
ОКПД2 код: 13.92.24.140, Количество строк: 32
ОКПД2 код: 20.14.71.190, Количество строк: 32
ОКПД2 код: 20.12.21.115, Количество строк: 32
ОКПД2 код: 28.13.21.190, Количество строк: 32
ОКПД2 код: 26.51.33.134, Количество строк: 32
ОКПД2 код: 26.30.50.123, Количество строк: 32
ОКПД2 код: 14.19.43.114, Количество строк: 32
ОКПД2 код: 10.71.11.140, Количество строк: 32
ОКПД2 код: 10.85.13.000, Количество строк: 32
ОКПД2 код: 21.20.10.231, Количество строк: 32
ОКПД2 код: 21.10.60.120, Количество строк: 32
ОКПД2 код: 15.12.12.210, Количество строк: 31
ОКПД2 код: 24.32.10.000, Количество строк: 31
ОКПД2 код: 19.20.29.119, Количество строк: 31
ОКПД2 код: 10.11.11.110, Количество строк: 31
ОКПД2 код: 25.92.12.000, Количество строк: 31
ОКПД2 код: 20.13.24.122, Количество строк: 31
ОКПД2 код: 14.12.30.160, Количество строк: 31
ОКПД2 код: 32.50.42.190, Количество строк: 31
ОКПД2 код: 32.99.13.121, Количество строк: 31
ОКПД2 код: 23.13.13.141, Количество строк: 31
ОКПД2 код: 30.30.50.110, Количество строк: 31
ОКПД2 код: 13.10.62.000, Количество строк: 31
ОКПД2 код: 13.92.12.113, Количество строк: 31
ОКПД2 код: 32.30.12.110, Количество строк: 31
ОКПД2 код: 10.82.22.113, Количество строк: 31
ОКПД2 код: 28.12.15.112, Количество строк: 30
ОКПД2 код: 28.29.83.140, Количество строк: 30
ОКПД2 код: 28.30.86.130, Количество строк: 30
ОКПД2 код: 25.71.13.110, Количество строк: 30
ОКПД2 код: 17.21.13.000, Количество строк: 30
ОКПД2 код: 28.11.13.110, Количество строк: 30
ОКПД2 код: 29.20.21.110, Количество строк: 30
ОКПД2 код: 25.29.12.110, Количество строк: 30
ОКПД2 код: 28.41.23.130, Количество строк: 30
ОКПД2 код: 25.73.30.225, Количество строк: 30
ОКПД2 код: 26.51.85.130, Количество строк: 30
ОКПД2 код: 28.15.23.120, Количество строк: 30
ОКПД2 код: 23.65.12.111, Количество строк: 30
ОКПД2 код: 13.93.12.110, Количество строк: 30
ОКПД2 код: 13.92.12.111, Количество строк: 30
ОКПД2 код: 14.12.30.110, Количество строк: 30
ОКПД2 код: 10.82.22.145, Количество строк: 30
ОКПД2 код: 10.13.15.111, Количество строк: 30
ОКПД2 код: 20.41.43.110, Количество строк: 29
ОКПД2 код: 32.30.15.180, Количество строк: 29
ОКПД2 код: 28.12.15.111, Количество строк: 29
ОКПД2 код: 28.41.31.110, Количество строк: 29
ОКПД2 код: 28.13.26.000, Количество строк: 29
ОКПД2 код: 25.73.40.169, Количество строк: 29
ОКПД2 код: 28.12.13.140, Количество строк: 29
ОКПД2 код: 28.94.21.000, Количество строк: 29
ОКПД2 код: 27.51.21.121, Количество строк: 29
ОКПД2 код: 32.40.39.242, Количество строк: 29
ОКПД2 код: 28.49.12.116, Количество строк: 28
ОКПД2 код: 20.14.73.190, Количество строк: 28
ОКПД2 код: 24.10.23.141, Количество строк: 28
ОКПД2 код: 20.59.42.120, Количество строк: 28
ОКПД2 код: 23.20.12.190, Количество строк: 28
ОКПД2 код: 26.51.63.110, Количество строк: 28
ОКПД2 код: 28.30.86.110, Количество строк: 28
ОКПД2 код: 17.12.14.121, Количество строк: 28
ОКПД2 код: 14.13.22.120, Количество строк: 28
ОКПД2 код: 10.72.12.140, Количество строк: 28
ОКПД2 код: 10.13.14.119, Количество строк: 28
ОКПД2 код: 21.20.10.159, Количество строк: 28
ОКПД2 код: 32.30.11.122, Количество строк: 28
ОКПД2 код: 14.14.23.110, Количество строк: 28
ОКПД2 код: 25.99.11.190, Количество строк: 27
ОКПД2 код: 20.41.43.120, Количество строк: 27
ОКПД2 код: 10.51.51.113, Количество строк: 27
ОКПД2 код: 26.51.64.150, Количество строк: 27
ОКПД2 код: 10.82.23.145, Количество строк: 27
ОКПД2 код: 14.20.10.251, Количество строк: 27
ОКПД2 код: 20.14.71.171, Количество строк: 27
ОКПД2 код: 22.19.71.190, Количество строк: 27
ОКПД2 код: 28.22.18.261, Количество строк: 27
ОКПД2 код: 28.12.15.114, Количество строк: 27
ОКПД2 код: 27.32.13.134, Количество строк: 27
ОКПД2 код: 17.12.73.140, Количество строк: 27
ОКПД2 код: 17.12.73.120, Количество строк: 27
ОКПД2 код: 32.99.16.110, Количество строк: 27
ОКПД2 код: 13.94.11.110, Количество строк: 27
ОКПД2 код: 14.19.43.121, Количество строк: 27
ОКПД2 код: 20.41.31.123, Количество строк: 27
ОКПД2 код: 20.42.18.111, Количество строк: 27
ОКПД2 код: 10.39.17.119, Количество строк: 27
ОКПД2 код: 21.20.10.115, Количество строк: 27
ОКПД2 код: 32.30.15.299, Количество строк: 27
ОКПД2 код: 32.20.20.140, Количество строк: 27
ОКПД2 код: 03.21.11.000, Количество строк: 27
ОКПД2 код: 31.01.12.122, Количество строк: 26
ОКПД2 код: 14.19.23.130, Количество строк: 26
ОКПД2 код: 28.29.31.115, Количество строк: 26
ОКПД2 код: 20.41.31.110, Количество строк: 26
ОКПД2 код: 32.40.42.191, Количество строк: 26
ОКПД2 код: 32.99.15.140, Количество строк: 26
ОКПД2 код: 19.20.29.112, Количество строк: 26
ОКПД2 код: 30.20.40.113, Количество строк: 26
ОКПД2 код: 24.42.22.133, Количество строк: 26
ОКПД2 код: 20.30.22.130, Количество строк: 26
ОКПД2 код: 20.41.20.130, Количество строк: 26
ОКПД2 код: 27.20.24.000, Количество строк: 26
ОКПД2 код: 27.32.13.153, Количество строк: 26
ОКПД2 код: 28.23.25.000, Количество строк: 26
ОКПД2 код: 29.20.10.000, Количество строк: 26
ОКПД2 код: 25.71.12.110, Количество строк: 26
ОКПД2 код: 28.99.11.190, Количество строк: 26
ОКПД2 код: 16.10.10.129, Количество строк: 26
ОКПД2 код: 10.86.10.246, Количество строк: 26
ОКПД2 код: 21.20.10.142, Количество строк: 26
ОКПД2 код: 22.29.26.190, Количество строк: 26
ОКПД2 код: 23.42.10.190, Количество строк: 25
ОКПД2 код: 10.51.40.112, Количество строк: 25
ОКПД2 код: 25.94.11.152, Количество строк: 25
ОКПД2 код: 20.30.22.210, Количество строк: 25
ОКПД2 код: 27.90.51.000, Количество строк: 25
ОКПД2 код: 25.73.30.142, Количество строк: 25
ОКПД2 код: 26.52.28.140, Количество строк: 25
ОКПД2 код: 29.10.59.130, Количество строк: 25
ОКПД2 код: 23.61.12.178, Количество строк: 25
ОКПД2 код: 26.11.12.000, Количество строк: 25
ОКПД2 код: 14.19.43.111, Количество строк: 25
ОКПД2 код: 10.89.19.160, Количество строк: 24
ОКПД2 код: 24.10.73.111, Количество строк: 24
ОКПД2 код: 24.34.13.190, Количество строк: 24
ОКПД2 код: 20.59.43.130, Количество строк: 24
ОКПД2 код: 27.32.13.193, Количество строк: 24
ОКПД2 код: 28.41.21.110, Количество строк: 24
ОКПД2 код: 28.41.33.120, Количество строк: 24
ОКПД2 код: 28.99.40.110, Количество строк: 24
ОКПД2 код: 31.09.13.149, Количество строк: 24
ОКПД2 код: 13.99.11.130, Количество строк: 24
ОКПД2 код: 10.51.52.211, Количество строк: 24
ОКПД2 код: 21.20.24.180, Количество строк: 24
ОКПД2 код: 32.50.30.110, Количество строк: 24
ОКПД2 код: 28.41.33.190, Количество строк: 23
ОКПД2 код: 11.02.12.112, Количество строк: 23
ОКПД2 код: 14.19.19.119, Количество строк: 23
ОКПД2 код: 10.51.52.130, Количество строк: 23
ОКПД2 код: 10.73.11.120, Количество строк: 23
ОКПД2 код: 24.44.13.120, Количество строк: 23
ОКПД2 код: 25.99.12.120, Количество строк: 23
ОКПД2 код: 14.12.30.180, Количество строк: 23
ОКПД2 код: 13.10.29.110, Количество строк: 23
ОКПД2 код: 24.10.64.121, Количество строк: 23
ОКПД2 код: 20.13.32.110, Количество строк: 23
ОКПД2 код: 20.59.52.110, Количество строк: 23
ОКПД2 код: 32.99.11.130, Количество строк: 23
ОКПД2 код: 27.90.12.130, Количество строк: 23
ОКПД2 код: 23.43.10.120, Количество строк: 23
ОКПД2 код: 27.32.13.158, Количество строк: 23
ОКПД2 код: 23.61.12.113, Количество строк: 23
ОКПД2 код: 15.20.13.160, Количество строк: 23
ОКПД2 код: 10.41.54.110, Количество строк: 23
ОКПД2 код: 20.41.31.140, Количество строк: 23
ОКПД2 код: 10.39.21.120, Количество строк: 23
ОКПД2 код: 10.84.11.000, Количество строк: 23
ОКПД2 код: 11.05.10.160, Количество строк: 23
ОКПД2 код: 58.19.11.200, Количество строк: 23
ОКПД2 код: 01.30.10.135, Количество строк: 23
ОКПД2 код: 20.42.15.131, Количество строк: 22
ОКПД2 код: 14.19.42.160, Количество строк: 22
ОКПД2 код: 10.84.12.170, Количество строк: 22
ОКПД2 код: 28.92.40.120, Количество строк: 22
ОКПД2 код: 26.60.12.140, Количество строк: 22
ОКПД2 код: 24.10.62.220, Количество строк: 22
ОКПД2 код: 17.12.77.120, Количество строк: 22
ОКПД2 код: 19.20.21.100, Количество строк: 22
ОКПД2 код: 24.10.75.115, Количество строк: 22
ОКПД2 код: 25.93.14.112, Количество строк: 22
ОКПД2 код: 20.13.24.112, Количество строк: 22
ОКПД2 код: 22.21.42.120, Количество строк: 22
ОКПД2 код: 32.99.12.120, Количество строк: 22
ОКПД2 код: 22.19.20.112, Количество строк: 22
ОКПД2 код: 25.93.17.110, Количество строк: 22
ОКПД2 код: 28.29.12.111, Количество строк: 22
ОКПД2 код: 27.52.11.190, Количество строк: 22
ОКПД2 код: 28.92.62.000, Количество строк: 22
ОКПД2 код: 23.42.10.130, Количество строк: 22
ОКПД2 код: 58.11.30.190, Количество строк: 22
ОКПД2 код: 23.13.13.111, Количество строк: 22
